,number_of_triangles,primitive_type,disturbed_areas_cnt,triangle_0_x,triangle_1_x,triangle_2_x,triangle_3_x,triangle_4_x,triangle_5_x,triangle_0_y,triangle_1_y,triangle_2_y,triangle_3_y,triangle_4_y,triangle_5_y,triangle_0_width,triangle_1_width,triangle_2_width,triangle_3_width,triangle_4_width,triangle_5_width,triangle_0_height,triangle_1_height,triangle_2_height,triangle_3_height,triangle_4_height,triangle_5_height,disturbed_area_0_yAL,disturbed_area_1_yAL,disturbed_area_2_yAL,disturbed_area_3_yAL,disturbed_area_4_yAL,disturbed_area_5_yAL,disturbed_area_0_yBL,disturbed_area_1_yBL,disturbed_area_2_yBL,disturbed_area_3_yBL,disturbed_area_4_yBL,disturbed_area_5_yBL,disturbed_area_0_width,disturbed_area_1_width,disturbed_area_2_width,disturbed_area_3_width,disturbed_area_4_width,disturbed_area_5_width,disturbed_area_0_height,disturbed_area_1_height,disturbed_area_2_height,disturbed_area_3_height,disturbed_area_4_height,disturbed_area_5_height,target
10,1,TissuePrimitiveType.CIRCLE,4,136,,,,,,,,,,,,25,,,,,,15,,,,,,200,200,,,,,,,310,310,,,46,59,44,51,,,37,35,48,45,,,ClassB
11,3,TissuePrimitiveType.CIRCLE,3,92,192,219,,,,,,,,,,19,9,21,,,,17,18,8,,,,,,,,,,310,310,310,,,,30,56,40,,,,45,41,47,,,,ClassB
12,5,TissuePrimitiveType.CIRCLE,5,307,333,352,363,375,,,,,,,,18,13,6,7,9,,35,27,19,26,20,,200,200,,,,,,,310,310,310,,52,47,40,58,46,,43,31,20,21,50,,ClassA
13,3,TissuePrimitiveType.CIRCLE,6,279,329,353,,,,,,,,,,28,6,16,,,,20,8,35,,,,200,200,200,,,,,,,310,310,310,41,66,60,46,31,36,32,43,37,27,45,23,ClassB
14,4,TissuePrimitiveType.CIRCLE,5,239,316,328,368,,,,,,,,,20,5,5,8,,,27,21,32,8,,,200,200,,,,,,,310,310,310,,40,41,42,63,49,,37,34,27,49,20,,ClassB
15,3,TissuePrimitiveType.CIRCLE,7,214,305,337,,,,,,,,,,22,23,17,,,,20,35,14,,,,200,200,200,200,,,,,,,310,310,42,64,69,53,40,34,24,50,27,35,29,34,ClassA
16,3,TissuePrimitiveType.CIRCLE,4,284,312,355,,,,,,,,,,21,16,26,,,,9,17,29,,,,200,200,200,,,,,,,310,,,45,38,38,38,,,21,30,32,24,,,ClassC
17,3,TissuePrimitiveType.CIRCLE,0,126,201,339,,,,,,,,,,8,30,17,,,,21,14,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassB
18,1,TissuePrimitiveType.RECTANGLE,6,301,,,,,,,,,,,,22,,,,,,9,,,,,,200,200,,,,,,,310,310,310,310,44,34,56,69,31,68,46,38,22,30,35,34,ClassC
19,4,TissuePrimitiveType.CIRCLE,3,114,305,337,371,,,,,,,,,9,26,16,7,,,26,8,9,30,,,,,,,,,310,310,310,,,,31,43,69,,,,25,20,40,,,,ClassB
20,4,TissuePrimitiveType.CIRCLE,1,27,118,181,330,,,,,,,,,27,8,20,4,,,23,26,35,29,,,200,,,,,,,,,,,,65,,,,,,37,,,,,,ClassA
21,3,TissuePrimitiveType.CIRCLE,4,135,296,325,,,,,,,,,,15,20,5,,,,14,22,30,,,,200,200,200,,,,,,,310,,,32,39,67,70,,,35,36,28,45,,,ClassC
22,5,TissuePrimitiveType.RECTANGLE,3,95,209,303,343,377,,,,,,,,7,28,27,29,7,,9,20,24,32,11,,200,,,,,,,310,310,,,,38,32,55,,,,44,44,50,,,,ClassA
23,5,TissuePrimitiveType.RECTANGLE,3,105,157,291,337,374,,,,,,,,21,13,21,22,8,,20,26,17,13,26,,200,,,,,,,310,310,,,,31,43,52,,,,25,33,34,,,,ClassA
24,3,TissuePrimitiveType.CIRCLE,1,90,276,319,,,,,,,,,,21,20,20,,,,8,23,28,,,,200,,,,,,,,,,,,52,,,,,,40,,,,,,ClassC
25,4,TissuePrimitiveType.RECTANGLE,1,150,184,249,314,,,,,,,,,12,16,30,10,,,24,24,17,18,,,200,,,,,,,,,,,,65,,,,,,32,,,,,,ClassC
26,3,TissuePrimitiveType.CIRCLE,1,114,302,348,,,,,,,,,,22,22,8,,,,21,14,22,,,,200,,,,,,,,,,,,47,,,,,,35,,,,,,ClassC
27,4,TissuePrimitiveType.CIRCLE,7,283,325,347,357,,,,,,,,,17,11,5,20,,,30,10,16,15,,,200,200,200,,,,,,,310,310,310,61,59,32,34,34,47,26,23,39,33,34,49,ClassB
28,2,TissuePrimitiveType.CIRCLE,0,347,376,,,,,,,,,,,19,5,,,,,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassB
29,2,TissuePrimitiveType.CIRCLE,2,165,227,,,,,,,,,,,23,19,,,,,17,15,,,,,200,200,,,,,,,,,,,48,62,,,,,50,44,,,,,ClassC
30,2,TissuePrimitiveType.RECTANGLE,7,80,311,,,,,,,,,,,15,27,,,,,21,14,,,,,200,200,200,,,,,,,310,310,310,52,35,69,31,32,59,40,21,32,33,31,26,ClassC
31,3,TissuePrimitiveType.RECTANGLE,3,275,312,354,,,,,,,,,,22,8,24,,,,28,21,19,,,,200,,,,,,,310,310,,,,64,37,39,,,,23,45,30,,,,ClassC
32,4,TissuePrimitiveType.CIRCLE,3,22,166,288,326,,,,,,,,,8,15,22,18,,,25,28,27,36,,,200,,,,,,,310,310,,,,38,57,67,,,,42,50,20,,,,ClassA
33,2,TissuePrimitiveType.RECTANGLE,3,292,363,,,,,,,,,,,30,8,,,,,16,19,,,,,200,,,,,,,310,310,,,,47,30,52,,,,26,46,23,,,,ClassC
34,3,TissuePrimitiveType.CIRCLE,6,248,289,334,,,,,,,,,,9,28,24,,,,33,27,16,,,,200,200,200,,,,,,,310,310,310,30,55,47,48,31,57,41,40,36,34,34,50,ClassA
35,4,TissuePrimitiveType.CIRCLE,2,151,205,268,345,,,,,,,,,20,14,23,17,,,28,18,32,21,,,200,,,,,,,310,,,,,40,35,,,,,41,24,,,,,ClassA
36,3,TissuePrimitiveType.RECTANGLE,3,328,355,374,,,,,,,,,,5,4,9,,,,23,24,18,,,,200,200,,,,,,,310,,,,57,34,59,,,,27,39,39,,,,ClassC
37,5,TissuePrimitiveType.NOPRIMITIVE,3,138,219,323,347,371,,,,,,,,7,25,11,18,12,,18,24,19,36,34,,200,,,,,,,310,310,,,,49,54,53,,,,45,29,29,,,,ClassA
38,4,TissuePrimitiveType.CIRCLE,3,132,248,327,348,,,,,,,,,4,4,4,19,,,10,23,24,15,,,200,200,,,,,,,310,,,,53,40,69,,,,39,29,40,,,,ClassC
39,4,TissuePrimitiveType.CIRCLE,5,239,296,328,348,,,,,,,,,27,19,14,24,,,8,16,34,31,,,200,200,,,,,,,310,310,310,,63,42,37,69,56,,24,28,44,31,28,,ClassA
40,1,TissuePrimitiveType.RECTANGLE,2,345,,,,,,,,,,,,19,,,,,,34,,,,,,,,,,,,310,310,,,,,44,34,,,,,47,36,,,,,ClassC
41,6,TissuePrimitiveType.CIRCLE,3,146,231,306,330,355,372,,,,,,,10,16,18,20,12,12,25,10,10,11,16,31,200,200,,,,,,,310,,,,68,48,43,,,,34,39,20,,,,ClassC
42,1,TissuePrimitiveType.RECTANGLE,3,195,,,,,,,,,,,,23,,,,,,11,,,,,,200,200,,,,,,,310,,,,64,38,40,,,,42,35,40,,,,ClassC
43,2,TissuePrimitiveType.CIRCLE,6,106,332,,,,,,,,,,,19,29,,,,,31,23,,,,,200,200,200,,,,,,,310,310,310,38,34,34,48,32,61,20,23,47,36,29,34,ClassB
44,3,TissuePrimitiveType.CIRCLE,6,221,321,366,,,,,,,,,,12,22,9,,,,26,24,26,,,,200,200,200,,,,,,,310,310,310,64,54,46,59,31,47,27,46,30,21,30,21,ClassB
45,3,TissuePrimitiveType.CIRCLE,1,175,333,361,,,,,,,,,,19,20,10,,,,10,24,25,,,,200,,,,,,,,,,,,57,,,,,,40,,,,,,ClassC
46,1,TissuePrimitiveType.CIRCLE,5,89,,,,,,,,,,,,27,,,,,,35,,,,,,200,200,200,,,,,,,310,310,,66,40,70,40,44,,44,45,41,39,44,,ClassC
47,3,TissuePrimitiveType.CIRCLE,4,281,323,340,,,,,,,,,,16,9,30,,,,33,27,25,,,,200,200,200,,,,,,,310,,,69,70,33,49,,,44,23,30,37,,,ClassA
48,5,TissuePrimitiveType.RECTANGLE,7,207,273,305,327,359,,,,,,,,8,8,6,26,23,,11,12,27,29,18,,200,200,200,,,,,,,310,310,310,61,61,51,34,36,45,22,20,47,24,26,45,ClassA
49,3,TissuePrimitiveType.CIRCLE,3,125,249,347,,,,,,,,,,14,30,16,,,,10,24,35,,,,200,,,,,,,310,310,,,,56,42,56,,,,32,43,27,,,,ClassA
50,3,TissuePrimitiveType.CIRCLE,4,181,271,344,,,,,,,,,,30,7,26,,,,35,32,28,,,,200,200,200,,,,,,,310,,,59,40,59,38,,,30,46,21,21,,,ClassA
51,3,TissuePrimitiveType.RECTANGLE,6,68,208,320,,,,,,,,,,9,22,4,,,,35,30,32,,,,200,200,200,200,,,,,,,310,310,64,51,32,36,49,48,44,27,34,31,34,24,ClassC
52,3,TissuePrimitiveType.NOPRIMITIVE,2,328,342,356,,,,,,,,,,7,5,23,,,,36,31,12,,,,200,,,,,,,310,,,,,60,63,,,,,49,31,,,,,ClassC
53,4,TissuePrimitiveType.CIRCLE,2,41,160,345,369,,,,,,,,,17,12,16,15,,,23,35,19,11,,,200,200,,,,,,,,,,,35,60,,,,,35,39,,,,,ClassC
54,2,TissuePrimitiveType.CIRCLE,4,326,361,,,,,,,,,,,12,10,,,,,32,17,,,,,200,200,200,200,,,,,,,,,47,40,69,50,,,41,47,31,31,,,ClassC
55,1,TissuePrimitiveType.CIRCLE,6,206,,,,,,,,,,,,6,,,,,,14,,,,,,200,200,200,200,,,,,,,310,310,44,58,65,66,41,50,48,43,49,43,30,45,ClassC
56,3,TissuePrimitiveType.RECTANGLE,5,195,279,346,,,,,,,,,,23,17,9,,,,24,34,28,,,,200,200,,,,,,,310,310,310,,43,52,49,47,35,,22,44,49,45,30,,ClassC
57,2,TissuePrimitiveType.CIRCLE,6,332,345,,,,,,,,,,,4,27,,,,,26,23,,,,,200,200,200,,,,,,,310,310,310,69,39,42,55,45,40,37,50,20,20,26,47,ClassB
58,4,TissuePrimitiveType.CIRCLE,3,114,169,341,355,,,,,,,,,9,10,8,6,,,33,25,30,10,,,200,200,200,,,,,,,,,,33,46,66,,,,21,28,29,,,,ClassC
59,2,TissuePrimitiveType.CIRCLE,4,115,241,,,,,,,,,,,12,11,,,,,28,26,,,,,200,200,200,200,,,,,,,,,45,59,61,59,,,26,21,47,26,,,ClassC
60,6,TissuePrimitiveType.CIRCLE,4,8,135,265,288,336,363,,,,,,,11,30,17,4,22,18,32,27,9,11,16,34,200,,,,,,,310,310,310,,,36,63,49,70,,,21,23,28,48,,,ClassA
61,2,TissuePrimitiveType.CIRCLE,0,104,172,,,,,,,,,,,14,29,,,,,15,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassB
62,5,TissuePrimitiveType.NOPRIMITIVE,1,82,176,308,356,377,,,,,,,,28,19,26,11,7,,15,10,33,28,30,,,,,,,,310,,,,,,63,,,,,,24,,,,,,ClassA
63,2,TissuePrimitiveType.CIRCLE,0,284,337,,,,,,,,,,,12,5,,,,,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassB
64,1,TissuePrimitiveType.CIRCLE,4,238,,,,,,,,,,,,9,,,,,,20,,,,,,200,200,,,,,,,310,310,,,42,42,69,60,,,50,27,39,50,,,ClassB
65,3,TissuePrimitiveType.CIRCLE,2,134,213,247,,,,,,,,,,18,10,11,,,,28,8,28,,,,,,,,,,310,310,,,,,34,46,,,,,26,47,,,,,ClassB
66,3,TissuePrimitiveType.CIRCLE,1,112,255,279,,,,,,,,,,6,17,14,,,,9,14,25,,,,200,,,,,,,,,,,,32,,,,,,24,,,,,,ClassC
67,3,TissuePrimitiveType.CIRCLE,0,69,309,340,,,,,,,,,,12,16,20,,,,21,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassB
68,5,TissuePrimitiveType.RECTANGLE,4,187,262,297,342,367,,,,,,,,24,4,26,20,17,,33,11,22,26,12,,200,200,200,,,,,,,310,,,39,53,61,59,,,27,28,20,34,,,ClassA
69,3,TissuePrimitiveType.CIRCLE,5,55,165,259,,,,,,,,,,18,9,11,,,,33,11,11,,,,200,200,,,,,,,310,310,310,,41,68,49,32,65,,39,23,42,35,43,,ClassB
70,2,TissuePrimitiveType.CIRCLE,1,186,258,,,,,,,,,,,28,30,,,,,27,21,,,,,,,,,,,310,,,,,,54,,,,,,44,,,,,,ClassB
71,1,TissuePrimitiveType.CIRCLE,3,21,,,,,,,,,,,,19,,,,,,18,,,,,,200,200,,,,,,,310,,,,54,52,51,,,,21,26,41,,,,ClassC
72,2,TissuePrimitiveType.RECTANGLE,4,1,207,,,,,,,,,,,21,5,,,,,29,36,,,,,200,200,200,200,,,,,,,,,40,45,41,38,,,34,28,40,33,,,ClassC
73,2,TissuePrimitiveType.CIRCLE,5,340,355,,,,,,,,,,,5,22,,,,,19,21,,,,,200,200,,,,,,,310,310,310,,43,31,47,65,48,,46,44,23,24,33,,ClassB
74,2,TissuePrimitiveType.CIRCLE,6,296,329,,,,,,,,,,,19,21,,,,,35,11,,,,,200,200,200,,,,,,,310,310,310,44,40,62,48,65,49,34,30,47,40,23,28,ClassB
75,4,TissuePrimitiveType.RECTANGLE,0,85,171,214,362,,,,,,,,,29,22,27,12,,,13,14,14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassA
76,2,TissuePrimitiveType.CIRCLE,3,9,286,,,,,,,,,,,13,16,,,,,8,10,,,,,200,200,200,,,,,,,,,,41,60,66,,,,22,42,45,,,,ClassC
77,3,TissuePrimitiveType.RECTANGLE,4,203,330,352,,,,,,,,,,7,12,29,,,,11,17,8,,,,200,200,200,200,,,,,,,,,43,55,69,30,,,21,26,22,45,,,ClassC
78,4,TissuePrimitiveType.CIRCLE,4,151,287,321,350,,,,,,,,,29,24,24,29,,,19,16,19,23,,,200,,,,,,,310,310,310,,,51,58,33,42,,,41,40,36,44,,,ClassA
79,4,TissuePrimitiveType.CIRCLE,5,77,187,321,364,,,,,,,,,28,6,30,14,,,24,33,16,33,,,200,200,,,,,,,310,310,310,,53,45,55,57,62,,46,28,36,40,47,,ClassA
80,5,TissuePrimitiveType.CIRCLE,5,170,214,271,342,374,,,,,,,,28,27,25,27,10,,34,11,29,14,27,,200,200,,,,,,,310,310,310,,41,52,59,55,63,,31,28,44,24,37,,ClassA
81,4,TissuePrimitiveType.RECTANGLE,6,0,195,286,315,,,,,,,,,17,12,21,30,,,9,20,13,30,,,200,200,200,,,,,,,310,310,310,39,59,66,59,44,36,48,30,20,48,47,49,ClassA
82,5,TissuePrimitiveType.CIRCLE,6,219,239,307,347,356,,,,,,,,4,11,21,4,24,,26,22,28,33,29,,200,200,200,,,,,,,310,310,310,70,43,55,46,32,34,25,44,50,39,20,39,ClassA
83,5,TissuePrimitiveType.RECTANGLE,6,229,253,301,327,354,,,,,,,,15,21,20,22,30,,10,16,16,18,24,,200,200,200,,,,,,,310,310,310,37,57,57,48,67,56,31,39,31,42,30,42,ClassA
84,3,TissuePrimitiveType.CIRCLE,4,148,295,333,,,,,,,,,,24,20,16,,,,18,24,34,,,,200,200,200,,,,,,,310,,,43,45,36,45,,,39,29,39,27,,,ClassA
85,1,TissuePrimitiveType.CIRCLE,3,54,,,,,,,,,,,,12,,,,,,28,,,,,,200,200,,,,,,,310,,,,47,32,45,,,,38,21,50,,,,ClassC
86,2,TissuePrimitiveType.CIRCLE,4,22,247,,,,,,,,,,,19,10,,,,,28,30,,,,,200,200,200,200,,,,,,,,,46,70,43,33,,,37,49,25,46,,,ClassC
87,1,TissuePrimitiveType.CIRCLE,3,155,,,,,,,,,,,,5,,,,,,25,,,,,,200,200,,,,,,,310,,,,57,62,60,,,,20,21,20,,,,ClassC
88,4,TissuePrimitiveType.CIRCLE,4,196,273,334,355,,,,,,,,,20,12,16,19,,,31,28,27,12,,,200,200,200,200,,,,,,,,,70,33,60,61,,,47,31,20,20,,,ClassA
89,1,TissuePrimitiveType.NOPRIMITIVE,5,39,,,,,,,,,,,,20,,,,,,27,,,,,,200,200,,,,,,,310,310,310,,68,42,52,41,53,,20,47,30,42,39,,ClassC
90,4,TissuePrimitiveType.CIRCLE,2,20,228,274,306,,,,,,,,,15,12,6,28,,,9,25,12,36,,,200,200,,,,,,,,,,,43,69,,,,,43,46,,,,,ClassA
91,1,TissuePrimitiveType.CIRCLE,1,322,,,,,,,,,,,,19,,,,,,26,,,,,,,,,,,,310,,,,,,43,,,,,,30,,,,,,ClassB
92,3,TissuePrimitiveType.CIRCLE,1,91,299,330,,,,,,,,,,12,18,25,,,,26,29,25,,,,,,,,,,310,,,,,,40,,,,,,35,,,,,,ClassA
93,3,TissuePrimitiveType.CIRCLE,6,240,294,327,,,,,,,,,,17,13,8,,,,16,15,23,,,,200,200,200,,,,,,,310,310,310,45,38,55,32,40,49,50,28,45,45,21,39,ClassB
94,2,TissuePrimitiveType.CIRCLE,4,271,338,,,,,,,,,,,22,22,,,,,23,20,,,,,200,200,200,200,,,,,,,,,49,30,33,43,,,37,20,27,39,,,ClassC
95,5,TissuePrimitiveType.RECTANGLE,2,79,176,262,303,343,,,,,,,,9,12,18,28,12,,28,11,34,20,23,,200,,,,,,,310,,,,,48,35,,,,,39,30,,,,,ClassA
96,3,TissuePrimitiveType.RECTANGLE,2,145,264,357,,,,,,,,,,13,9,22,,,,9,18,10,,,,200,,,,,,,310,,,,,53,49,,,,,36,32,,,,,ClassC
97,4,TissuePrimitiveType.CIRCLE,3,29,198,266,335,,,,,,,,,20,5,14,24,,,20,22,36,36,,,200,200,200,,,,,,,,,,61,53,66,,,,33,36,31,,,,ClassA
98,0,TissuePrimitiveType.RECTANGLE,5,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,,,,310,310,310,,68,61,65,59,61,,41,25,25,44,26,,ClassC
99,6,TissuePrimitiveType.RECTANGLE,4,160,258,272,301,342,376,,,,,,,16,6,24,26,25,4,17,9,9,13,31,9,200,200,200,200,,,,,,,,,31,65,40,42,,,46,22,30,34,,,ClassA
100,3,TissuePrimitiveType.RECTANGLE,5,340,362,376,,,,,,,,,,17,9,8,,,,14,8,25,,,,200,200,200,200,,,,,,,310,,55,62,67,49,51,,29,30,34,29,27,,ClassC
101,3,TissuePrimitiveType.CIRCLE,2,278,296,335,,,,,,,,,,11,26,21,,,,31,9,8,,,,,,,,,,310,310,,,,,63,49,,,,,36,34,,,,,ClassB
102,1,TissuePrimitiveType.CIRCLE,1,202,,,,,,,,,,,,18,,,,,,9,,,,,,200,,,,,,,,,,,,69,,,,,,21,,,,,,ClassC
103,3,TissuePrimitiveType.CIRCLE,1,208,254,352,,,,,,,,,,23,13,29,,,,36,26,25,,,,200,,,,,,,,,,,,64,,,,,,38,,,,,,ClassA
104,4,TissuePrimitiveType.RECTANGLE,6,158,175,228,323,,,,,,,,,6,7,21,9,,,11,21,33,11,,,200,200,,,,,,,310,310,310,310,31,43,68,36,40,46,43,45,22,21,46,46,ClassC
105,4,TissuePrimitiveType.RECTANGLE,5,143,323,342,359,,,,,,,,,14,6,12,24,,,24,9,31,23,,,200,,,,,,,310,310,310,310,,69,49,52,50,58,,40,34,42,32,48,,ClassC
106,3,TissuePrimitiveType.CIRCLE,2,25,48,213,,,,,,,,,,13,15,28,,,,14,30,14,,,,200,,,,,,,310,,,,,61,69,,,,,34,22,,,,,ClassB
107,3,TissuePrimitiveType.CIRCLE,5,31,230,263,,,,,,,,,,11,28,29,,,,16,15,33,,,,200,,,,,,,310,310,310,310,,66,37,56,37,47,,31,45,39,44,20,,ClassA
108,6,TissuePrimitiveType.CIRCLE,7,141,243,296,311,345,369,,,,,,,30,13,9,16,19,15,32,13,26,35,9,24,200,200,200,,,,,,,310,310,310,66,65,46,47,46,43,35,34,36,29,40,20,ClassA
109,3,TissuePrimitiveType.CIRCLE,5,244,290,363,,,,,,,,,,30,28,10,,,,34,36,20,,,,200,200,200,,,,,,,310,310,,48,45,67,68,63,,44,36,32,34,50,,ClassA
110,4,TissuePrimitiveType.CIRCLE,2,196,255,315,352,,,,,,,,,22,5,30,30,,,9,21,32,11,,,,,,,,,310,310,,,,,46,36,,,,,37,50,,,,,ClassA
111,1,TissuePrimitiveType.CIRCLE,1,85,,,,,,,,,,,,8,,,,,,19,,,,,,,,,,,,310,,,,,,67,,,,,,34,,,,,,ClassB
112,1,TissuePrimitiveType.CIRCLE,7,167,,,,,,,,,,,,20,,,,,,25,,,,,,200,200,200,200,,,,,,,310,310,41,68,68,32,31,63,27,40,26,20,35,35,ClassC
113,4,TissuePrimitiveType.CIRCLE,6,111,220,299,362,,,,,,,,,27,7,18,19,,,30,8,35,32,,,200,200,200,,,,,,,310,310,310,48,34,32,39,57,62,20,37,25,36,44,43,ClassA
114,3,TissuePrimitiveType.CIRCLE,2,266,305,358,,,,,,,,,,23,17,20,,,,33,21,27,,,,200,200,,,,,,,,,,,59,59,,,,,42,40,,,,,ClassA
115,2,TissuePrimitiveType.CIRCLE,5,243,324,,,,,,,,,,,29,7,,,,,29,24,,,,,200,,,,,,,310,310,310,310,,44,44,58,30,61,,40,26,21,27,27,,ClassB
116,2,TissuePrimitiveType.CIRCLE,2,272,352,,,,,,,,,,,21,27,,,,,32,17,,,,,200,200,,,,,,,,,,,34,46,,,,,22,34,,,,,ClassC
117,5,TissuePrimitiveType.RECTANGLE,4,154,203,313,337,365,,,,,,,,17,21,17,22,17,,18,31,13,12,17,,200,,,,,,,310,310,310,,,67,33,44,49,,,39,26,35,37,,,ClassA
118,3,TissuePrimitiveType.RECTANGLE,3,26,176,201,,,,,,,,,,11,16,20,,,,21,9,24,,,,200,200,,,,,,,310,,,,47,45,52,,,,34,41,39,,,,ClassC
119,3,TissuePrimitiveType.CIRCLE,4,96,269,327,,,,,,,,,,24,17,21,,,,25,36,17,,,,,,,,,,310,310,310,310,,,44,69,59,57,,,35,41,30,27,,,ClassA
120,3,TissuePrimitiveType.CIRCLE,4,80,192,337,,,,,,,,,,10,8,9,,,,33,30,19,,,,200,200,200,,,,,,,310,,,65,45,54,54,,,40,41,28,29,,,ClassC
121,2,TissuePrimitiveType.CIRCLE,3,256,331,,,,,,,,,,,23,26,,,,,27,13,,,,,200,,,,,,,310,310,,,,38,41,36,,,,25,23,33,,,,ClassB
122,5,TissuePrimitiveType.CIRCLE,1,197,268,310,341,372,,,,,,,,30,23,26,22,11,,32,26,22,28,8,,200,,,,,,,,,,,,64,,,,,,48,,,,,,ClassA
123,4,TissuePrimitiveType.CIRCLE,4,43,334,345,368,,,,,,,,,21,5,18,16,,,30,25,21,33,,,200,200,,,,,,,310,310,,,36,64,32,65,,,27,45,41,46,,,ClassA
124,3,TissuePrimitiveType.CIRCLE,3,301,336,372,,,,,,,,,,8,19,5,,,,12,22,25,,,,200,200,200,,,,,,,,,,34,68,58,,,,29,48,21,,,,ClassC
125,5,TissuePrimitiveType.CIRCLE,3,73,221,230,304,349,,,,,,,,18,4,21,12,25,,26,24,23,13,28,,,,,,,,310,310,310,,,,52,68,45,,,,21,33,47,,,,ClassA
126,1,TissuePrimitiveType.CIRCLE,2,202,,,,,,,,,,,,23,,,,,,32,,,,,,200,200,,,,,,,,,,,43,49,,,,,20,36,,,,,ClassC
127,3,TissuePrimitiveType.RECTANGLE,3,270,326,366,,,,,,,,,,11,10,12,,,,14,17,20,,,,200,200,200,,,,,,,,,,43,30,68,,,,38,34,31,,,,ClassC
128,2,TissuePrimitiveType.CIRCLE,4,292,326,,,,,,,,,,,24,25,,,,,35,26,,,,,,,,,,,310,310,310,310,,,54,63,38,32,,,36,30,45,29,,,ClassA
129,2,TissuePrimitiveType.CIRCLE,4,257,301,,,,,,,,,,,17,13,,,,,27,32,,,,,200,,,,,,,310,310,310,,,35,56,62,57,,,37,26,40,31,,,ClassB
130,3,TissuePrimitiveType.NOPRIMITIVE,3,168,271,345,,,,,,,,,,16,27,9,,,,15,29,14,,,,,,,,,,310,310,310,,,,70,70,53,,,,44,27,50,,,,ClassC
131,3,TissuePrimitiveType.CIRCLE,4,219,240,311,,,,,,,,,,13,30,16,,,,20,14,19,,,,,,,,,,310,310,310,310,,,41,57,40,61,,,33,25,26,27,,,ClassB
132,3,TissuePrimitiveType.CIRCLE,0,258,297,348,,,,,,,,,,13,24,7,,,,17,31,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClassB
133,3,TissuePrimitiveType.RECTANGLE,5,75,197,220,,,,,,,,,,7,13,19,,,,15,9,22,,,,200,200,,,,,,,310,310,310,,45,56,60,31,46,,35,24,27,33,39,,ClassC
